Context,Text response,,,,,,,
Piye pengalamanmu karo Kerupuk?,"Aku kerep mangan krupuk. Rasane enak lan teksture renyah, cocok kanggo pelengkap masakan.",,,,,,,
"Getuk Ubi Manis utawa Keripik Singkong, sing sampeyan pilih?",Aku luwih seneng Kripik singkong amarga rasane enak lan renyah.,,,,,,,
Kowe seneng jajanan Getuk Ubi?,Panganan Getuk Ubi iki rasane enak. Getuk Ubi minangka jajanan tradisional sing legi lan gurih.,,,,,,,
Apa sampeyan luwih seneng panganan sing manis utawa gurih?,"Aku luwih seneng panganan manis, nanging kadhangkala uga seneng panganan gurih kanggo macem-macem.",,,,,,,
Kowe seneng ombenan tradisional kaya Es Cendol?,Aku seneng ombenan tradisional kaya Es Cendol. Rasane seger lan sampurna ing wayah awan,,,,,,,
Piye rasane Es Doger?,"Es Doger minangka minuman sing seger banget. Rasane legi lan adhem, luwih-luwih amarga campuran es krim, kacang abang lan cendol.",,,,,,,
Kowe seneng Es Teler opo luwih seneng Dawet Ireng?,"Aku luwih seneng Es Teler. Es Teler akeh tambahan kayata alpukat, klapa enom lan nangka sing nggawe seger. Nanging Dawet Ireng uga enak, utamane amarga rasa kenyal saka sele suket.",,,,,,,
Apa sampeyan seneng omben-omben sing adhem kaya Ice Tape?,Aku pancene seneng omben-omben sing adhem kaya Ice Tape. Es Tape minangka minuman manis lan fermentasi tape menehi rasa sing khas.,,,,,,,
Apa sampeyan seneng wedang-wedang tradisional?,"Aku seneng banget wedang-wedang tradisional. Dheweke nyedhiyakake macem-macem sensasi rasa, saka manis nganti pedhes, lan asring uga menehi rasa anget.",,,,,,,
Piye rasane Wedang Ronde?,Wedang Ronde iku wedang tradhisional kang manis lan anget. Aku seneng rasa jahe lan kenyal saka bal ketan ing njero.,,,,,,,
Apa sampeyan mikir babagan Es Legi?,Es Legi nduweni rasa manis sing khas karo gula aren. Rasane seger banget lan cocok kanggo ombenan panganan cuci mulut.,,,,,,,
Kepiye pengalaman sampeyan karo Es Cincau?,"Aku seneng Ice Grass Grass. Rasane seger lan kenyal, lan tekstur sele suket nambah nyenengake kanggo ngombe.",,,,,,,
Kepriye rasane Wedang Uwuh?,"Wedang Uwuh nduweni rasa bumbu sing khas. Rasane manis lan anget, cocok kanggo nguri-uri swasana.",,,,,,,
Kowe seneng Es Pisang Ijo utawa luwih seneng Es Krim Unik?,"Aku luwih seneng Es Pisang Ijo amarga rasane manis, seger, lan teksture gedhang sing lembut. Es Krim sing unik uga enak, utamane amarga macem-macem rasa.",,,,,,,
Piye rasane Klappertaart?,Klappertaart nduweni rasa klapa sing khas lan tekstur sing lembut sing ndadekake rasane enak banget. Cocok karo seleraku.,,,,,,,
Klappertaart cocog karo rasa sampeyan?,"Ya bener, Klappertaart cocok karo seleraku. Aku seneng tekstur krim lan rasa klapa.",,,,,,,
"Lapis Legit utawa Nastar, sampeyan milih sing endi?","Aku luwih seneng Lapis Legit. Lapis Legit nduweni tekstur sing lembut lan rasa manis, cocok banget kanggo panganan cuci mulut.",,,,,,,
Piye rasane Kue Talam?,Kue talam nduweni rasa manis kanthi lapisan ketan kenyal. Rasane enak banget.,,,,,,,
Kowe seneng Kue Leker utawa Kue Telur Gulung?,Aku luwih seneng Rolled Pancakes. Rolled Omelet Cake nduweni isi sing enak lan tekstur sing unik.,,,,,,,
Kowe luwih seneng Kue Mendut utawa Kue Meranti Bolu?,"Aku luwih seneng kue bolu Meranti amarga rasane manis lan teksture lembut. Kue Mendut uga enak, utamane amarga lapisan gula sing renyah.",,,,,,,
Apa pendapatmu tentang Gethuk Lindri?,Aku seneng Gethuk Lindri. Gethuk Lindri nduweni rasa manis lan tekstur kenyal sing khas.,,,,,,,
Piye rasane Mud Cake?,Mud Cake yaiku kue sing legi kanthi tekstur sing lembut lan rada lengket. Rasane enak banget.,,,,,,,
Piye rasane kue Ape?,Ape Cake minangka jajanan sing gurih lan renyah kanthi rasa sing unik. Aku seneng tekstur lan rasa.,,,,,,,
Kowe seneng Bolu Tape opo luwih seneng Wingko Babat?,"Aku luwih seneng Bolu Tape. Tape Bolu nduweni rasa manis sing khas amarga tape fermentasi, lan tekstur sing lembut.",,,,,,,
Piye pengalamanmu karo Dadar Gulung?,Aku seneng karo Dadar Gulung amarga isi klapa sing manis lan tekstur kulit sing kenyal.,,,,,,,
Piye rasane Klepon?,Klepon yaiku kue sing legi sing diisi gula klapa lan lapisan glepung ketan kenyal. Rasane enak lan legi.,,,,,,,
Kowe luwih seneng Nastar utawa Kue Talam?,Aku luwih milih Nastar. Nastar nduweni rasa manis sing unik lan tekstur renyah.,,,,,,,
Piye rasane Kue Mendut?,Kue Mendut nduweni rasa manis kanthi lapisan gula sing renyah. Rasane enak tenan.,,,,,,,
Apa pendapat sampeyan babagan Bolu Meranti?,Aku seneng Bolu Meranti amarga rasane sing manis lan teksture sing lembut. Bolu Meranti minangka jajanan sing enak.,,,,,,,
Piye rasane Gethuk Lindri?,Gethuk Lindri nduweni rasa manis sing unik lan tekstur kenyal. Rasane enak banget.,,,,,,,
Piye rasane Mud Cake?,Mud Cake yaiku kue sing legi kanthi tekstur alus sing biasane ana icing. Rasane enak banget.,,,,,,,
Kowe seneng Kue Kera utawa Meranti Bolu?,"Aku luwih seneng kue bolu Meranti amarga rasane manis lan teksture lembut. Kue Kera uga enak, utamane amarga teksture sing gurih.",,,,,,,
Kepiye rasa Bolu Tape?,Tape Bolu nduweni rasa manis sing khas amarga tape fermentasi lan tekstur sing lembut. Aku seneng rasa unik.,,,,,,,
Kowe seneng jajanan khas Malang?,Aku seneng panganan khas Malang. Panganan khas Malang nduweni rasa lan tekstur sing maneka warna sing manjakan ilat. Saben panganan nduweni keunikan dhewe-dhewe sing ndadekake iku istimewa.,,,,,,,
Apa pengalamanmu karo Malang Street Food?,Pengalamanku karo Malang Street Food tansah nyenengake. Aku seneng mlaku-mlaku ing pasar wengi lan nyoba macem-macem panganan sing enak sing ditawakake.,,,,,,,
Kowe kerep mangan jajanan khas Malang?,Aku kerep mangan jajanan khas Malang. Padha cemilan sampurna kanggo ngiringi wektu sayah. Aku seneng rasa gurih lan manis.,,,,,,,
Wis tau nyoba Minuman Khas Malang?,Aku tau nyoba wedang Khas Malang. Minuman tradisional kayata Es Cendol lan Es Doger dadi favoritku. Rasane seger lan cocok kanggo cuaca panas.,,,,,,,
Kowe luwih seneng panganan Malang sing manis apa asin?,"Aku luwih seneng Manis Malang. Panganan manis duwe rasa sing khas lan menehi sensasi kenikmatan khusus. Nanging, panganan asin uga enak.",,,,,,,
Piye rasane bakso Tahu?,"Tahu Baso nduweni rasa gurih lan seger. Aku seneng kombinasi bakso, tahu lan duduh kaldu sing enak.",,,,,,,
Apa Sate Kelinci?,Sate Kelinci minangka panganan unik sing nduweni daging terwelu sing empuk lan saus kacang sing gurih. Rasane enak banget lan beda karo sate biasa.,,,,,,,
Apa sing disenengi babagan Sate Usus?,Aku seneng Sate Usus amarga ususe teksture kenyal lan bumbu sate sing enak. Iki minangka cemilan sing enak lan asring dadi favorit ing sate ayam.,,,,,,,
Apa sing nggawe Pempek Palembang istimewa?,Pempek Palembang istimewa amarga teksture kenyal lan isi iwak sing enak. Saus cuko sing digunakake menehi rasa manis lan asem sing khas.,,,,,,,
Piye rasane Ayam Penyet?,Ayam Penyet nduweni rasa pedhes lan gurih sing khas. Ayam digoreng nganti garing lan disajikake karo sambal pedhes. Aku seneng sensasi pedhes.,,,,,,,
Nasi Lele Pecel cocok karo seleramu?,"Nasi Lele Pecel cocok karo seleraku. Aku seneng sega goreng, lan lele goreng crispy. Digabungake karo saus kacang sing gurih, dadi enak banget.",,,,,,,
Piye rasane panganan gorengan?,"Panganan sing digoreng nduweni tekstur sing renyah lan rasa sing enak. Aku seneng macem-macem gorengan, saka gedhang goreng nganti tahu goreng.",,,,,,,
Kowe seneng Rujak Cukur utawa Rujak Cingur?,"Aku luwih seneng Dicukur Rujak. Rujak Serut rasane seger lan sambel kacang sing enak. Rujak Cingur uga enak, utamane amarga ana potongan daging cingur.",,,,,,,
"Cilok opo Pentol, kowe milih sing endi?",Aku luwih milih Cilok. Cilok minangka jajanan kenyal sing biasane disedhiyakake karo saos kacang. Rasane enak lan cocok kanggo cemilan.,,,,,,,
Piye rasane Mie Ayam?,Mie ayam nduweni rasa gurih lan daging pitik empuk. Aku seneng mie sing digunakake lan duduh kaldu sing sugih.,,,,,,,
Piye rasane Kerak Telur?,Kerak Telor nduweni rasa sing unik. Rasane enak lan renyah kanthi aroma sing nyenengake. Aku seneng tekstur lan rasa endhog.,,,,,,,
Kowe luwih seneng Crispy Fried Chicken utawa Batagor?,"Aku luwih seneng Ayam Goreng Crispy. Ayam digoreng nganti garing banget lan digabungake karo bumbu renyah sing enak. Nanging Batagor uga enak, utamane amarga kombinasi bakso lan tahu.",,,,,,,
Piye rasane Gado-Gado?,Gado-Gado minangka sajian salad sing nduweni rasa gurih lan seger. Aku seneng saus kacang sing khas lan macem-macem sayuran sing digunakake.,,,,,,,
Piye rasane Siomay?,Siomay minangka panganan dim sum sing rasane gurih lan disuguhake karo sambel kacang sing enak. Aku seneng tekstur kenyal saka kulit pangsit lan isi daging.,,,,,,,
Apa sampeyan seneng Pentol Bakso utawa luwih seneng Mie Ayam?,"Aku luwih seneng mie ayam. Mie ayam nduweni rasa gurih lan tekstur kenyal, utamane mie sing digunakake. Nanging Pentol Bakso uga enak, utamane yen dipangan karo saos.",,,,,,,
Apa sampeyan seneng jajanan dalan kaya Kripik Singkong?,Panganan ing pinggir dalan kaya Kripik Singkong uga dadi favoritku. Iki minangka cemilan sing apik banget utawa mung cemilan ing omah.,,,,,,,
Apa sampeyan luwih seneng jajanan kaya Sate Kelinci?,Aku luwih seneng jajanan pinggir jalan kaya Sate Kelinci. Iki minangka sajian unik kanthi daging terwelu sing lembut lan saus kacang sing gurih. Rasane enak tenan.,,,,,,,
Apa sampeyan kerep mangan jajanan kaya Sate Usus?,"Aku kerep mangan jajanan pinggir jalan kaya Sate Usus. Sate usus nduweni rasa sing unik, lan usus digoreng nganti garing dadi favoritku.",,,,,,,
Apa sampeyan seneng jajanan kaya Pempek Palembang?,Aku seneng mangan jajanan pinggir dalan kaya Pempek Palembang. Pempek nduweni rasa gurih lan bumbu cuko asem manis. Tekstur pempek yang kenyal membuat pempek ini istimewa.,,,,,,,
Apa pendapat sampeyan babagan Ayam Penyet?,Aku seneng banget karo Ayam Penyet. Rasa pedhes lan gurih minangka kombinasi sing sampurna. Pitik goreng nganti crispy lan sambal pedhes minangka sajian sing luar biasa.,,,,,,,
Apa sampeyan seneng jajanan kaya Nasi Pecel Lele?,"Ya aku seneng jajanan pinggir jalan kaya Nasi Pecel Lele. Nasi goreng renyah, lele goreng renyah, lan sambel kacang gurih dadi kombinasi sing enak.",,,,,,,
Piye rasane Somay Goreng?,"Somay goreng nduweni rasa sing luwih renyah lan gurih tinimbang bakso goreng. Somay goreng sing paling disenengi, utamane yen disuguhake karo saus pedhes.",,,,,,,
Panganan apa sing murah nanging ana macem-macem jinis lawuh?,Nasi kucing’ porsi cilik nanging isih ana macem-macem jinis lauk,,,,,,,
Apa sing diarani pepes tongkol?,Pepes tongkol minangka panganan tradhisional sing sehat kanthi kandungan protein,,,,,,,
Apa bedane cilok karo bakso?,"Cilok meh padha karo bakso, mung bedane ukurane",,,,,,,
Apa bedane rujak cingur karo rujak ulek?,Rujak cingur yaiku panganan tradhisional asli Surabaya kaya rujak ulek nanging ditambahi cingur,,,,,,,
Apa sing kudu diombe ing wayah awan?,Ngombe es dawet ing wayah awan pancen nikmat,,,,,,,
Panganan cilik apa sing dipangan wingi?,"yaiku Klepon, panganan sing populer ing Indonesia lan digawe saka glepung beras",,,,,,,
"Kowe wingi entuk ""Pisang Goreng"" nang endi?",Wingi aku entuk gedhang goreng ing warung ngarep kampus,,,,,,,
"Apa tekstur panganan ""klepon""?","“Klepon” nduweni tekstur kenyal, nanging yen dikecapi metu isine cairan",,,,,,,
"Nalika sampeyan pisanan mangan ""pisang goreng""?","Sepisanan aku mangan ""gedhang goreng"" nalika isih SD",,,,,,,
"Apa sampeyan pengin nggawe ""pisang goreng"" karo aku?","Ayo gawe ""gedhang goreng"" bareng tekan omah",,,,,,,
Panganan apa sing cocok kanggo bocah kuliah kaya aku?,"Panganan sing cocok kanggo mahasiswa yaiku Nasi Padang amarga murah, akeh lan kenyang",,,,,,,
Jajanan tradhisional apa sing kudu dicoba nalika lunga menyang Magelang?,"Yen menyang Magelang, gethuk lindri minangka jajanan sing patut dicoba",,,,,,,
Apa panganan favorit wong Indonesia?,Nasi Padang mujudake panganan sing disenengi wong akeh ing Indonesia,,,,,,,
Apa ana jajanan tradisional sing legendaris ing Indonesia?,"Gatot, tiwul, cenil, lupis, lan sawut minangka salah sawijining jajanan tradisional sing legendaris ing Indonesia.",,,,,,,
"Aku luwe ing wayah wengi, apa sing kudu dakpangan?","Yen bengi ngelih, sega goreng bisa dadi solusi amarga murah lan gampang ditemokake",,,,,,,
Apa panganan khas Indonesia sing digawe saka daging sapi?,Rendang menika panganan ingkang awujud daging sapi,,,,,,,
Saka ngendi asale kue Bika Ambon?,Kue Bika Ambon minangka panganan khas tlatah Aceh,,,,,,,
Apa panganan khas Indonesia sing misuwur ing saindenging jagad?,Masakan Indonesia sing misuwur ing saindenging jagad yaiku sega goreng,,,,,,,
Apa panganan khas Kutha Madiun sing misuwur?,Kutha Madiun misuwur kanthi panganan khas pecel,,,,,,,
Kepriye wujude kue lapis sing sah?,Kue lapis legit biasane dumadi saka rong lapisan warna sing ditumpuk ing sadhuwure.,,,,,,,
Apa kombinasi panganan saka tempel cabe?,Sambal terasi biasane digabung karo sega anget,,,,,,,
Apa wedang kesehatan sing misuwur ing Indonesia?,Jamu minangka minuman kesehatan sing kondhang ing Indonesia,,,,,,,
Apa bahan baku sate ing Indonesia?,"Sate ing Indonesia bisa digawe saka pitik, wedhus utawa terwelu",,,,,,,
Teh Tarik saka ngendi?,Teh Tarik minangka minuman khas daerah Aceh,,,,,,,
Apa iku kerak endhog?,Panganan khas Betawi sing digawe kanthi cara dibakar yaiku kulit endhog,,,,,,,
Apa sing misuwur Coto Makassar?,Coto Makassar misuwur kanthi rasa rempah-rempah,,,,,,,
Panganan apa ing Indonesia sing saiki disenengi para mudha?,Panganan ing Indonesia sing saiki disenengi para mudha yaiku seblak,,,,,,,
Apa gunane ngombe bir pletok?,Sakit weteng lan mual bisa diilangi kanthi ngombe bir pletok saka Jakarta,,,,,,,
Apa iku lemper?,Lemper ya iku jajanan tradhisional kang digawé saka ketan lan pitik,,,,,,,
Apa kopi robusta?,Kopi robusta iku kopi ireng pahit,,,,,,,
Panganan khas apa sing kudu dicoba nalika ngunjungi Bali?,Jajan khas Bali sing wajib dicoba nalika dolan ing pulau Bali yaiku pitik betutu lan bebek bengil.,,,,,,,
"Ing wilayah pesisir Sumatera Barat, ing ngendi aku bisa nemokake restoran pinggir pantai sing nyedhiyakake panganan laut seger ?","Ing pesisir Sumatra Kulon, restoran pinggir pantai nyedhiyakake panganan laut sing seger, kalebu iwak bakar sing wangi lan kerang rebus sing enak.",,,,,,,
"Ing pasar malem Ngayogyakarta, apa jajanan ning pinggir jalan sing populer?","Pasar malem Ngayogyakarta misuwur kanthi jajanan pinggir jalan, kadosta gudeg, sate ayam lan bakso.",,,,,,,
Apa sampeyan duwe rekomendasi restoran internasional ing Jakarta sing nyedhiyakake masakan khas negara liya?,Salah sawijining restoran internasional sing disaranake ing Jakarta yaiku Restoran Sushi Sato sing nyedhiyakake sushi Jepang sing seger lan asli.,,,,,,,
Apa sampeyan duwe rekomendasi kanggo toko kue lokal ing Bandung sing kudu sampeyan kunjungi kanggo nyicipi jajanan tradisional lan manisan?,Wonten ing Bandung wonten warung jajan tradisional ingkang aranipun 'Berkah Rasa' ingkang nyawisaken jajanan tradhisional lan maneka warna jajanan ingkang legi.,,,,,,,
Apa panganan khas Tarakan?,krabu soka iku krabu khasa tarakan,,,,,,,
Piye rasane sambal tudai?,Sambal kanthi bahan utama tudai utawa kerang nduweni rasa kang enak,,,,,,,
Apa sampeyan ngerti apa jinis cangkang segara sing ngemot protein?,Kapah iku jinis cangkang segara sing dikenal akeh protein,,,,,,,
Apa ciri-cirine rawon?,Rawon yaiku sup sembrani kuah ireng kanthi campuran bumbu khas,,,,,,,
Saka ngendi asale masakan Nasi Padang?,Nasi Padang ya iku panganan saka Sumatra Kulon kang isiné sega putih kang disuguhaké karo manéka lawuh,,,,,,,
Masakan eksotis apa sing dadi favoritmu ing tlatah Surabaya?,Ing Surabaya bakul sate kikil lan sate terwelu dadi favorit para wisatawan sing golek masakan eksotis.,,,,,,,
Apa panganan khas Sumatera Barat sing terkenal daging sapi?,Sate Padang iku panganan khas Sumatera Barat sing misuwur kanthi daging sapi sing empuk lan saus rendang sing gurih.,,,,,,,
"Ing tlatah Ngayogyakarta, panganan khas apa wae sing rasane legi lan gurih?",Ngayogyakarta nduweni panganan gudeg sing legi lan gurih sing digawe saka nangka enom lan disajikake karo pitik lan sega.,,,,,,,
Apa sampeyan duwe rekomendasi kanggo panggonan ing Jakarta sing misuwur karo Soto Betawi?,Soto Betawi Haji Mamat ya iku panganan tradisional Jakarta sing misuwur kanthi saos santen lan potongan daging lan jeroan.,,,,,,,
Apa sampeyan duwe rekomendasi kanggo panggonan ing Bogor karo sup iga?,Sop Iga Sapi Pak Tigor ya iku jajanan khas Bogor sing kondhang kalduné sing enak lan iga sapi sing empuk.,,,,,,,
Apa jenenge wedang khas kutha Malang sing digawe saka jahe?,Tahwa ya iku ombenan saka jahe sing asalé saka Malang,,,,,,,
Sebutna jeneng jajanan sing kerep ditemoni nalika wong nganakake acara?,Jajan apem bisa ditemoni ing acara-acara utamane ing pulo Jawa,,,,,,,
Ketoprak iku panganan khas saka ngendi?,Jakarta uga duwe panganan khusus sing jenenge Ketoprak,,,,,,,
Saka ngendi asale sayur lontong?,Suku Betawi uga duwe panganan khusus sing diarani sayur lontong,,,,,,,
Apa panganan khas Kutha Lamongan saliyane Soto Lamongan?,Lamongan ora mung duwe panganan sing padha nanging uga duwe panganan khusus sing diarani tahu campur,,,,,,,
Kerak Telor iku panganan khas saka kutha endi?,Jakarta ora mung duwe panganan sing abot nanging uga duwe panganan khusus sing diarani kerak telor,,,,,,,
Saka ngendi asale wedang bajigur?,Bajigur ya iku ombenan kang digawé saka gula aren lan santen sing asalé saka Sundha,,,,,,,
Saka ngendi asale panganan tahu tek?,Surabaya duwe panganan khusus sing jenenge tahu tek,,,,,,,
"Kutha Surabaya duwe wedang khusus, yaiku?",Es Sinom iku wedang khas Surabaya sing nggunakake bahan alami,,,,,,,
Nasi Pecel iku panganan khas Indonesia sing asale saka?,Kutha Madiun duwe panganan khusus sing diarani pecel Madiun,,,,,,,
Apa jenenge panganan khas Aceh?,Mie Aceh minangka panganan khas sing rasane enak lan asale saka Aceh,,,,,,,
Kepriye perane sega ing panganan saben dinane ing Indonesia?,Sega minangka panganan pokok ing Indonésia lan asring didadèkaké dhaharan.,,,,,,,
"Kepiye carane nggawe sambal, saus pedhes khas Indonesia?","Sambal yaiku saus pedhes saka Indonesia sing digawe saka lombok, bawang lan rempah-rempah liyane.",,,,,,,
Apa arane jajanan pasar sing lapis lan wernane maneka warna?,Kue lapis minangka jajanan pasar warna-warni sing duwe sawetara lapisan,,,,,,,
Kepriye perane sega ing panganan saben dinane ing Indonesia?,Sega minangka panganan pokok ing Indonésia lan asring didadèkaké dhaharan.,,,,,,,
"Kepiye carane nggawe sambal, saus pedhes khas Indonesia?","Sambal yaiku sambel pedhes khas Indonesia sing digawe saka lombok, bawang lan rempah-rempah liyane.",,,,,,,
Apa panganan khas Indonesia sing misuwur ing saindenging jagad?,Endang minangka panganan khas Indonesia sing misuwur banget ing saindenging jagad.,,,,,,,
Apa panganan khas sing asale saka Sumatera Utara ing Indonesia?,Saksang minangka panganan khas Sumatera Utara sing misuwur kanthi rasa pedhes lan gurih.,,,,,,,
Apa variasi sambal sing bisa ditemokake ing Indonesia?,"Ing Indonesia, variasi sambal kalebu sambal terasi, sambal oelek, sambal bawang putih, lan liya-liyane.",,,,,,,
"Kadospundi ciri khas sega wonten ing kuliner Malang, lan pinten-pinten sajian adhedhasar sega ingkang misuwur?",Sega nduweni peran sentral ing mayoritas masakan ing Malang.,,,,,,,
Apa panganan Bali sing paling misuwur?,"Panganan Bali sing misuwur ya iku sega campur Bali. Sega campur iki biasane disuguhake karo macem-macem lawuh kayata pitik betutu, lawar, sate lilit, lan endhog rebus.",,,,,,,
Apa rasa lawar Bali?,"Lawar Bali nduweni rasa sing unik lan enak. Iki minangka panganan sayur-sayuran sing biasane kalebu klapa parut, kacang panjang, tauge, lan rempah-rempah Bali kayata terasi lan jeruk nipis. Rasane gurih, pedhes lan seger.",,,,,,,
